Mol_i	Mol_j_nearest	extracted_value	Distance_nm	NN_Distance_nm
191	1481	0.02495079966083	0.57235	68.525
193	990	0.0644371707422427	0.70934	48.032
196	678	0.0096369328867019	0.511813	27.736
199	1462	0.0881662369115753	0.883886	32.983
200	905	0.0090673625188655	0.808096	78.893
201	1066	0.023917110143164	0.51346	16.651
202	680	0.0046790842047341	0.524611	48.92
203	95	0.1918915006436003	0.529985	20.58
204	1075	0.0199612749720219	0.729185	73.598
205	1419	0.1321919057857225	0.458883	11.871
206	844	0.0221727787487046	0.485271	20.843
207	1364	0.0397313867831195	0.516378	27.079
208	1381	0.0165090384682745	0.568047	38.596
209	588	0.0191997332988565	0.798769	7.56
20	1288	0.0190843723784367	0.532817	41.144
210	979	0.0367098354669767	0.595298	35.135
211	196	0.0024926803990229	0.794061	14.069
213	140	0.0032511345139356	0.789925	82.841
214	1469	0.0150353104991686	0.686823	65.303
215	294	0.0078363640922527	0.478082	7.273
216	1115	0.0143897133310986	0.665108	25.922
217	1385	0.0061806418143099	0.614038	18.043
218	457	0.0765896821263321	0.601309	15.667
21	399	0.0111765182405292	0.6093	44.282
220	1179	0.0191126416258892	0.580863	29.555
221	1099	0.0548838117891805	0.462247	23.76
222	688	0.037629077053427	0.728913	57.164
223	1242	0.0088844969167875	0.657954	79.71
224	262	0.1363750577378391	0.609306	56.496
225	308	0.0490626193747621	0.487836	17.603
226	1031	0.0339853090291567	0.691537	49.858
227	462	0.1283317104164066	0.850153	25.531
228	38	0.0119125837313518	0.66177	44.547
229	1143	0.0156264856693746	0.499287	28.434
22	327	0.0524120418269849	0.626739	23.587
230	715	0.2993741197375434	0.579238	31.787
232	1173	0.0692527020174571	0.453394	20.325
233	990	0.0244415671433543	0.89021	2.982
234	235	0.0334521538850842	0.500911	33.98
235	234	0.0337828642457822	0.500911	33.98
237	100	0.0010632413354759	0.721912	24.674
238	960	0.0850761645150812	0.588491	13.351
239	1061	0.0055673801237211	0.456398	23.169
23	931	0.0352216202724985	0.731224	23.494
240	185	0.0645187641157664	0.451139	32.912
241	1146	0.0047697542551456	0.704951	76.915
242	1305	0.0607784664422392	0.550728	36.169
243	815	0.043520432857647	0.653501	15.032
245	1476	0.0057060781397435	0.896514	79.288
247	359	0.0146991708754242	0.695388	73.434
248	959	0.0345461504070755	0.560246	22.223
249	525	0.1199032202652029	0.536132	5.554
250	861	0.0201116887741613	0.565204	40.971
252	975	0.0419609903109558	0.690722	14.654
253	1032	0.0275608770297308	0.787772	67.944
255	994	0.0281142791389867	0.610626	73.939
256	687	0.0537241716127069	0.598626	63.152
257	665	0.1924047558728848	0.56286	56.648
259	717	0.0372596974429262	0.703883	30.776
25	770	0.0355430982186306	0.687314	21.586
260	178	0.0011885204576005	0.6897	20.635
262	335	0.0891199709685186	0.442992	21.556
263	124	0.2231172117484004	0.513106	17.689
265	696	0.1274647120919749	0.574143	13.78
266	316	0.2305217003682574	0.533272	48.454
268	1419	0.0162484680949164	0.594005	23.513
269	1268	0.0689327582641791	0.566512	13.902
26	1437	0.0432934849654475	0.4343	28.736
271	402	0.000988201137222	0.889329	55.161
272	914	0.0003940475826495	0.746795	37.749
273	1128	0.0810026273746649	0.664288	36.601
274	780	0.0211915606361567	0.544233	23.099
275	467	0.2541255592616339	0.417312	15.756
276	466	0.0450323678121466	0.562218	57.114
277	1219	0.1296768579312451	0.890747	24.489
27	796	0.0380641279745081	0.487441	11.123
280	543	0.0598547238171225	0.692591	64.944
282	1249	0.005603915057482	0.453932	28.287
284	221	0.0183642721841901	0.663173	80.05
285	1184	0.1060280005863745	0.679546	50.339
286	965	0.0760146834550338	0.5735	47.85
287	250	0.01937937033546	0.753728	15.3
288	1209	0.0393870486641912	0.499146	28.198
289	79	0.0412138038469074	0.681633	12.969
290	1125	0.0016123976721413	0.704112	65.11
291	154	0.0112802440877217	0.82038	87.923
293	1014	0.1437091094076014	0.442451	18.06
294	215	0.027195096408084	0.478082	7.273
297	430	0.0001526975414776	0.59012	22.486
298	1002	0.019765633930016	0.858002	53.893
299	322	0.0449345803468656	0.557612	43.803
29	1123	0.0702531950786745	0.467109	22.325
300	1018	0.0631987341801649	0.489627	36.15
301	1251	0.0095382440404832	0.728105	41.726
302	648	0.0180078005301955	0.569238	53.082
303	1341	0.0348587746255169	0.663463	53.397
304	1196	0.0654797165485569	0.582147	59.35
305	802	0.0037838852140808	0.754665	88.601
306	1354	0.0809893615180736	0.640047	22.626
307	887	0.0158280021619521	0.689148	52.467
308	225	0.0423702454396988	0.487836	17.603
309	1044	0.0849710849402535	0.486764	31.272
310	163	0.0012893809595296	0.579699	62.793
311	949	0.0423393416706929	0.506355	23.783
312	895	0.0001680883917066	0.74166	84.08
313	1263	0.0225898186251109	0.84164	64.959
314	1267	0.058765817491457	0.595068	29.332
315	1180	0.096867243078973	0.626745	18.445
316	266	0.0932859114500145	0.533272	48.454
317	1298	0.0479180842223539	0.642561	11.987
318	1383	0.0981574543545514	0.859485	42.768
31	1445	0.0023185654779465	0.594993	42.527
320	821	0.0165423546515523	0.891207	40.362
321	173	0.0047619637043425	0.776459	9.648
322	299	0.0559741394439989	0.557612	43.803
323	404	0.0051361792871189	0.520136	11.757
325	1180	0.0122831874882591	0.679201	20.977
326	537	0.0267035817310277	0.517264	25.523
327	22	0.0240547988275895	0.626739	23.587
329	1356	0.0760709476363574	0.561983	35.926
330	1234	0.0266312945612399	0.739771	80.245
333	529	0.0712057426281917	0.540524	15.743
334	104	0.035758328868	0.800085	19.817
335	262	0.0137029319117453	0.442992	21.556
336	903	0.0315782585078062	0.636884	14.49
337	955	0.0070159020381769	0.577024	39.506
338	1367	0.0130154965579697	0.656401	59.555
33	171	0.126686187526441	0.447568	21.985
340	1446	0.0198721282067253	0.929289	45.893
341	1500	0.0611188473987403	0.458328	6.107
342	1016	0.0271457430531146	0.884401	36.73
344	536	0.0149511191916068	0.669514	49.216
345	1477	0.007364461696645	0.893287	60.988
348	1422	0.0274751183139655	0.8318	86.767
34	1045	0.0374007142380617	0.736307	69.544
350	75	0.0456343568320533	0.671311	66.461
351	915	0.0234813442501962	0.495315	37.606
352	1110	0.1789895980673314	0.80324	39.15
353	265	0.0236937354101095	0.578109	26.604
354	1406	0.0359747551636144	0.444563	18.967
356	857	0.0993748635522226	0.547251	21.138
358	589	0.0052102158644492	0.594095	76.556
359	471	0.0083953678059729	0.523651	23.639
35	970	0.0020736663914048	0.626681	50.193
360	608	0.0682028603704074	0.632116	68.642
361	1473	0.0414520608068197	0.517864	25.865
362	768	2.9381662003523623e-05	0.54496	28.56
