,res_id,mid_x,mid_y,mid_z
133,134,0.7725,7.791499999999999,6.3065
134,135,8.358,10.133,1.8155000000000001
135,136,3.388,10.246500000000001,8.644
136,137,9.718499999999999,1.9304999999999999,3.7430000000000003
137,138,8.8945,7.335,3.4405
138,139,2.508,9.4095,5.223
139,140,8.378,2.3435,9.3865
140,141,7.625,0.19551000000000052,7.7435
141,142,9.650500000000001,4.695,8.466
142,143,8.8635,7.2645,1.482
143,144,9.29,5.57,8.0285
144,145,8.564499999999999,7.459,9.556000000000001
145,146,0.6655,6.7805,0.6695
146,147,10.8225,10.931000000000001,1.7105
147,148,7.969,3.3715,6.7405
148,149,3.026,8.23,6.068
149,150,8.1915,4.537,2.966
150,151,3.3945,8.283999999999999,7.37
151,152,7.352,4.481999999999999,4.109
152,153,7.0,10.4015,4.08
153,154,3.7375,8.165,0.314
154,155,7.069,8.9845,0.059
155,156,5.1525,3.9555,3.2095000000000002
156,157,4.554,4.327,2.62
157,158,0.4935,10.277000000000001,7.252
158,159,9.1145,2.7409999999999997,4.9375
159,160,0.815,6.731,1.314
160,161,5.574999999999999,10.720500000000001,4.421
161,162,8.754000000000001,9.266,9.243500000000001
162,163,10.555,8.1055,6.8835
163,164,1.7745,0.27999999999999997,10.278500000000001
164,165,6.1685,10.205,1.3985
165,166,8.529,7.811,5.9805
166,167,2.5445,0.18750000000000003,6.6695
167,168,1.4775,3.8765,9.6305
168,169,4.4035,1.658,0.633
169,170,2.114,8.139,8.945
170,171,11.045,2.811,6.414
171,172,8.0845,8.932,7.8215
172,173,5.134,5.426,2.7595
173,174,9.5475,1.4185,7.9185
174,175,7.9945,3.483,0.517
175,176,9.839500000000001,1.8735,4.975
176,177,4.698,2.2845,1.459
177,178,7.4615,9.003499999999999,9.6415
178,179,3.356,3.4695,4.1945
179,180,0.72,7.4245,1.591
180,181,10.2015,7.2705,7.5745000000000005
181,182,0.8875,7.194,8.185
182,183,8.5445,3.3795,4.3934999999999995
183,184,1.357,7.446,3.598
184,185,6.577,1.4245,10.452
185,186,1.4140000000000001,5.6785,8.547
186,187,6.826,7.5835,5.598000000000001
187,188,9.3115,10.0445,7.396
188,189,2.1165000000000003,4.4455,2.3375
189,190,11.19499,1.1815,8.526499999999999
190,191,5.2835,3.099,8.04
191,192,1.4055,9.835999999999999,0.1545
192,193,3.5145,10.096,6.0775
193,194,0.827,4.5595,4.3695
194,195,10.344,0.096,9.2375
195,196,8.514,0.85,9.918
196,197,5.236000000000001,5.7895,2.079
