1,4
1,847
2,3
2,18
2,984
3,258
3,1014
4,226
4,1330
5,443
5,760
5,1355
6,436
6,606
8,346
8,700
8,1219
8,1261
9,986
10,125
10,418
11,73
11,1064
11,1067
12,1126
13,571
13,992
14,62
14,873
15,788
16,1006
17,168
17,186
17,1116
18,127
18,231
19,46
19,612
19,1107
19,1304
20,795
20,1288
21,339
21,1466
22,195
22,327
22,833
23,373
23,801
23,931
24,108
24,1349
25,243
25,1167
25,1278
25,1472
27,33
27,796
28,229
28,706
28,1112
28,1117
29,199
29,1123
30,118
30,299
30,598
30,1124
31,1242
32,486
32,1054
32,1090
32,1334
33,387
33,580
35,1373
36,536
36,809
36,1188
36,1440
37,662
37,686
39,422
39,963
39,1228
39,1286
40,1160
41,1089
42,337
42,663
42,1131
42,1141
43,721
43,824
43,1318
45,1190
45,1307
46,293
46,386
46,521
46,1304
47,748
47,1058
48,50
48,1331
48,1458
49,339
49,1259
49,1284
50,1331
51,369
52,443
53,603
54,529
55,210
55,886
55,1057
56,141
56,211
57,1259
57,1484
58,1218
59,439
59,1388
59,1497
60,420
60,919
61,301
61,638
61,956
61,1256
64,693
64,1253
65,1289
66,87
69,332
70,760
70,1227
70,1401
71,83
71,165
71,1002
71,1064
71,1183
72,618
72,625
72,775
72,1128
73,727
74,944
75,902
75,957
77,394
78,152
78,538
78,1392
79,174
79,289
79,691
80,1457
82,1060
82,1397
83,839
84,271
84,972
84,1145
84,1348
85,510
85,576
85,1359
86,932
86,1316
86,1501
87,817
88,224
88,1114
90,455
90,881
90,1024
90,1036
92,162
92,403
92,1254
92,1468
93,230
93,562
93,622
93,1118
94,705
94,989
95,631
95,1296
96,571
96,613
96,849
98,1364
99,808
99,825
99,1198
99,1301
100,838
100,1414
101,610
101,879
101,1343
101,1487
102,293
102,1245
103,1315
104,334
104,427
104,694
105,410
105,597
105,1359
106,118
107,1217
108,1461
109,435
109,1323
109,1499
110,490
111,191
111,646
111,1260
112,252
112,1496
113,533
113,837
114,270
114,1093
116,909
116,935
117,135
118,715
118,1124
119,259
119,476
120,216
121,587
121,633
123,1098
124,136
124,921
124,950
125,266
125,1292
126,1303
127,1245
128,944
128,1457
129,867
129,1373
130,151
130,653
130,974
130,1496
131,346
132,270
134,880
135,325
135,1154
135,1444
137,485
137,543
137,1199
138,317
138,1298
139,215
139,1231
140,1285
141,671
141,711
142,1489
143,1228
143,1397
144,1255
145,373
145,439
145,970
146,1491
146,1501
147,718
147,1366
151,1219
151,1339
152,1293
153,309
153,430
153,995
153,1001
153,1355
154,1215
155,1333
156,198
156,338
156,828
157,828
157,1492
158,582
158,1187
159,1040
160,1201
160,1410
161,440
161,595
162,579
163,220
163,382
164,1283
165,652
166,820
167,815
167,1257
168,953
168,1236
169,351
169,371
169,773
170,1409
